region,offset,bit,model_class
imem,0x080,0,MASKED
imem,0x080,1,MASKED
imem,0x080,2,SDC
imem,0x080,3,MASKED
imem,0x080,4,SDC
imem,0x080,5,MASKED
imem,0x080,6,MASKED
imem,0x080,7,MASKED
imem,0x080,8,MASKED
imem,0x080,9,MASKED
imem,0x080,10,MASKED
imem,0x080,11,MASKED
imem,0x080,12,MASKED
imem,0x080,13,MASKED
imem,0x080,14,MASKED
imem,0x080,15,MASKED
imem,0x080,16,MASKED
imem,0x080,17,MASKED
imem,0x080,18,MASKED
imem,0x080,19,MASKED
imem,0x080,20,MASKED
imem,0x080,21,MASKED
imem,0x080,22,SDC
imem,0x080,23,SDC
imem,0x080,24,SDC
imem,0x080,25,SDC
imem,0x080,26,SDC
imem,0x080,27,SDC
imem,0x080,28,SDC
imem,0x080,29,SDC
imem,0x080,30,SDC
imem,0x080,31,HANG
imem,0x084,0,SDC
imem,0x084,1,SDC
imem,0x084,2,HANG
imem,0x084,3,SDC
imem,0x084,4,SDC
imem,0x084,5,UNCERTAIN
imem,0x084,6,SDC
imem,0x084,7,SDC
imem,0x084,8,SDC
imem,0x084,9,SDC
imem,0x084,10,SDC
imem,0x084,11,SDC
imem,0x084,12,SDC
imem,0x084,13,SDC
imem,0x084,14,MASKED
imem,0x084,15,MASKED
imem,0x084,16,MASKED
imem,0x084,17,MASKED
imem,0x084,18,MASKED
imem,0x084,19,MASKED
imem,0x084,20,MASKED
imem,0x084,21,MASKED
imem,0x084,22,SDC
imem,0x084,23,SDC
imem,0x084,24,SDC
imem,0x084,25,SDC
imem,0x084,26,SDC
imem,0x084,27,SDC
imem,0x084,28,SDC
imem,0x084,29,SDC
imem,0x084,30,SDC
imem,0x084,31,HANG
imem,0x088,0,HANG
imem,0x088,1,HANG
imem,0x088,2,HANG
imem,0x088,3,HANG
imem,0x088,4,HANG
imem,0x088,5,HANG
imem,0x088,6,HANG
imem,0x088,7,HANG
imem,0x088,8,HANG
imem,0x088,9,HANG
imem,0x088,10,HANG
imem,0x088,11,HANG
imem,0x088,12,HANG
imem,0x088,13,SDC
imem,0x088,14,MASKED
imem,0x088,15,MASKED
imem,0x088,16,MASKED
imem,0x088,17,MASKED
imem,0x088,18,MASKED
imem,0x088,19,MASKED
imem,0x088,20,SDC
imem,0x088,21,SDC
imem,0x088,22,SDC
imem,0x088,23,HANG
imem,0x088,24,SDC
imem,0x088,25,SDC
imem,0x088,26,MASKED
imem,0x088,27,MASKED
imem,0x088,28,MASKED
imem,0x088,29,MASKED
imem,0x088,30,MASKED
imem,0x088,31,HANG
imem,0x08c,0,MASKED
imem,0x08c,1,MASKED
imem,0x08c,2,SDC
imem,0x08c,3,MASKED
imem,0x08c,4,SDC
imem,0x08c,5,MASKED
imem,0x08c,6,MASKED
imem,0x08c,7,MASKED
imem,0x08c,8,MASKED
imem,0x08c,9,MASKED
imem,0x08c,10,MASKED
imem,0x08c,11,MASKED
imem,0x08c,12,MASKED
imem,0x08c,13,MASKED
imem,0x08c,14,MASKED
imem,0x08c,15,MASKED
imem,0x08c,16,MASKED
imem,0x08c,17,MASKED
imem,0x08c,18,MASKED
imem,0x08c,19,MASKED
imem,0x08c,20,SDC
imem,0x08c,21,SDC
imem,0x08c,22,SDC
imem,0x08c,23,SDC
imem,0x08c,24,SDC
imem,0x08c,25,SDC
imem,0x08c,26,SDC
imem,0x08c,27,SDC
imem,0x08c,28,SDC
imem,0x08c,29,SDC
imem,0x08c,30,SDC
imem,0x08c,31,SDC
imem,0x090,0,SDC
imem,0x090,1,SDC
imem,0x090,2,SDC
imem,0x090,3,SDC
imem,0x090,4,SDC
imem,0x090,5,SDC
imem,0x090,6,SDC
imem,0x090,7,SDC
imem,0x090,8,SDC
imem,0x090,9,SDC
imem,0x090,10,SDC
imem,0x090,11,SDC
imem,0x090,12,UNCERTAIN
imem,0x090,13,SDC
imem,0x090,14,UNCERTAIN
imem,0x090,15,SDC
imem,0x090,16,SDC
imem,0x090,17,SDC
imem,0x090,18,SDC
imem,0x090,19,SDC
imem,0x090,20,MASKED
imem,0x090,21,MASKED
imem,0x090,22,SDC
imem,0x090,23,SDC
imem,0x090,24,SDC
imem,0x090,25,SDC
imem,0x090,26,SDC
imem,0x090,27,SDC
imem,0x090,28,SDC
imem,0x090,29,SDC
imem,0x090,30,SDC
imem,0x090,31,HANG
imem,0x094,0,SDC
imem,0x094,1,SDC
imem,0x094,2,SDC
imem,0x094,3,SDC
imem,0x094,4,SDC
imem,0x094,5,SDC
imem,0x094,6,UNCERTAIN
imem,0x094,7,MASKED
imem,0x094,8,MASKED
imem,0x094,9,SDC
imem,0x094,10,SDC
imem,0x094,11,SDC
imem,0x094,12,UNCERTAIN
imem,0x094,13,SDC
imem,0x094,14,UNCERTAIN
imem,0x094,15,SDC
imem,0x094,16,SDC
imem,0x094,17,SDC
